REMAINING MISSING ACTIONS: 106
csv-to-json | DevHandler | noop
sql-formatter | DevHandler | noop
find-and-replace | DevHandler | noop
css-box-shadow | DevHandler | boxShadow
xml-to-json | DevHandler | noop
utm-builder | SeoHandler | utmBuilder
htpasswd-generator | DevHandler | noop
whois-lookup | DevHandler | noop
css-gradient-generator | DevHandler | cssGradientGenerator
port-scanner | DevHandler | noop
credit-card-validator | DevHandler | noop
regex-visualizer | DevHandler | noop
dockerfile-generator | DevHandler | noop
gitignore-generator | DevHandler | noop
url-scheme-builder | DevHandler | noop
curl-converter | DevHandler | noop
postman-to-swagger | DevHandler | noop
ssl-decoder | DevHandler | noop
git-cheatsheet | DevHandler | noop
ai-code-translator | AiHandler | codeTranslate
json-to-ts | DevHandler | noop
bcrypt-hash-generator | DevHandler | noop
md-to-html | DevHandler | noop
ip-subnet-calculator | DevHandler | noop
duplicate-line-remover | DevHandler | noop
alphabetical-sorter | DevHandler | noop
ascii-art-generator | DevHandler | noop
excel-to-json | DevHandler | noop
bbcode-to-json | DevHandler | noop
strong-password-generator | DevHandler | noop
password-strength-checker | DevHandler | noop
aes-256-encryptor | DevHandler | noop
dns-leak-tester | DevHandler | noop
mac-address-lookup | DevHandler | noop
ssl-cert-generator | DevHandler | noop
email-header-analyzer | DevHandler | noop
malware-url-checker | DevHandler | noop
tor-node-checker | DevHandler | noop
ai-article-pro | AiHandler | articlePro
ai-story-writer | AiHandler | storyWriter
ai-essay-assistant | AiHandler | essayAsst
ai-paraphraser-pro | AiHandler | paraphrasePro
ai-text-humanizer-pro | AiHandler | humanizePro
ai-headline-creator | AiHandler | headlineGen
ai-content-gap | AiHandler | gapFinder
ai-intro-hook | AiHandler | introHook
ai-conclusion-gen | AiHandler | conclusionGen
ai-outline-creator | AiHandler | outlineGen
ai-ad-pro | AiHandler | adCopyPro
ai-email-suite | AiHandler | emailSuite
ai-product-desc-pro | AiHandler | prodDescPro
ai-landing-page-copy | AiHandler | lpCopy
ai-value-prop | AiHandler | valueProp
ai-brand-hub | AiHandler | brandHub
ai-pro-bio | AiHandler | proBio
ai-review-responder | AiHandler | reviewResp
ai-interview-prep | AiHandler | interviewPrep
ai-slogan-gen | AiHandler | sloganGen
adsense-revenue-calculator | FinanceHandler | adsenseRevenue
burn-rate-calculator | FinanceHandler | burnRate
business-name-generator | FinanceHandler | businessName
cash-flow-forecaster | FinanceHandler | cashFlow
disclaimer-generator | FinanceHandler | disclaimer
equity-dilution-calculator | FinanceHandler | equityDilution
freelance-contract-generator | FinanceHandler | freelanceContract
freelance-hourly-rate-calculator | FinanceHandler | freelanceRate
gst-tax-calculator | FinanceHandler | gstTax
invoice-generator | FinanceHandler | invoice
mission-statement-generator | FinanceHandler | missionStatement
privacy-policy-generator | FinanceHandler | privacyPolicy
project-cost-estimator | FinanceHandler | projectCost
purchase-order-generator | FinanceHandler | purchaseOrder
receipt-generator | FinanceHandler | receipt
saas-churn-rate-calculator | FinanceHandler | saasChurn
stripe-fee-calculator | FinanceHandler | stripeFee
subscription-cac-calculator | FinanceHandler | subscriptionCac
website-worth-estimator | SeoHandler | websiteWorth
backlink-quality-checker | SeoHandler | backlinkChecker
cold-email-template-generator | SocialHandler | coldEmail
domain-name-idea-generator | SocialHandler | domainIdea
email-subject-line-tester | SocialHandler | subjectTester
facebook-pixel-code-generator | SocialHandler | fbPixel
ga4-event-code-generator | SocialHandler | ga4Event
podcast-show-notes-generator | SocialHandler | podcastNotes
seo-audit-checklist-generator | SeoHandler | seoAudit
temp-email-generator | SocialHandler | tempEmail
thread-hook-generator | SocialHandler | threadHook
tiktok-idea-generator | SocialHandler | tiktokIdea
youtube-video-rank-checker | SeoHandler | ytRankChecker
blur-face-in-image | ImageHandler | blurFace
dpi-converter | ImageHandler | dpiConverter
gif-maker | ImageHandler | gifMaker
heic-to-jpg-converter | ImageHandler | heicToJpg
image-exif-data-viewer | ImageHandler | exifDataViewer
image-splitter | ImageHandler | imageSplitter
image-upscaler | ImageHandler | imageUpscaler
image-to-pdf-converter | PdfHandler | imageToPdf
csv-to-pdf-table | PdfHandler | csvToPdf
epub-to-pdf-converter | PdfHandler | epubToPdf
extract-images-from-pdf | PdfHandler | extractPdfImages
flatten-pdf-tool | PdfHandler | flattenPdf
pdf-redaction-tool | PdfHandler | redactPdf
pdf-text-extractor | PdfHandler | extractPdfText
pdf-to-html-converter | PdfHandler | pdfToHtml
pdf-to-image-extractor | PdfHandler | pdfToImage
email-breach-checker | DevHandler | emailBreach
